character,frequency,percentage
 ,14376,14.245793447886317
a,10242,10.149235983114336
e,10032,9.941137998691955
o,6768,6.7067007550984
t,6018,5.963493667875617
r,5868,5.81485225043106
i,5334,5.285688804328438
l,4494,4.45329686663892
n,3816,3.781437659789524
s,3714,3.680361495927225
m,3108,3.0798501694512157
c,3054,3.0263392591711757
.,2910,2.883643498424401
h,2850,2.824186931446578
p,2784,2.7587847077709733
y,2514,2.491230156370771
g,2322,2.300969142041738
u,2190,2.1701646946905284
d,2190,2.1701646946905284
k,1374,1.3615553837921397
x,1092,1.0821095189963732
f,972,0.9631963850407278
b,894,0.8859028479695582
v,588,0.5826743563826625
',396,0.3924133420536298
w,396,0.3924133420536298
j,288,0.28539152149354896
q,132,0.13080444735120994
?,90,0.08918485046673405
z,78,0.07729353707116951
",",12,0.01189131339556454
-,6,0.00594565669778227
4,6,0.00594565669778227
0,6,0.00594565669778227
